persona_id,date,amount,merchant,category,payment_method,bank,tx_type,description,balance_after,transaction_id
P164,2025-01-01 08:12:00,69619,Modern Retail,Beverages,Cash,,debit,Transaksi di Modern Retail,14930381,TX000001
P030,2025-01-01 08:42:00,75429,Pasar Tradisional,Groceries,Debit,Mandiri,debit,Transaksi di Pasar Tradisional,3924571,TX000002
P162,2025-01-01 08:55:00,36858,Warung Kelontong,Groceries,QRIS,BCA,debit,Transaksi di Warung Kelontong,15463142,TX000003
P035,2025-01-01 09:17:00,53798,Gramedia,Entertainment,Transfer,Mandiri,debit,Transaksi di Gramedia,2246202,TX000004
P189,2025-01-01 09:43:00,8728,Orang Tua,Snacks,Cash,,debit,Transaksi di Orang Tua,27991272,TX000005
P069,2025-01-01 10:20:00,25728,Delfi,Snacks,Debit,BNI,debit,Transaksi di Delfi,5474272,TX000006
P118,2025-01-01 10:24:00,163792,Inul Vizta,Entertainment,Transfer,BNI,debit,Transaksi di Inul Vizta,6636208,TX000007
P102,2025-01-01 11:48:00,279885,Watsons,Personal Care,Debit,Mandiri,debit,Transaksi di Watsons,13520115,TX000008
P041,2025-01-01 11:53:00,192978,Lawson,Dining Out,Cash,,debit,Transaksi di Lawson,3207022,TX000009
P044,2025-01-01 11:55:00,1190992,3Second Store,Fashion,Cash,,debit,Transaksi di 3Second Store,10009008,TX000010
P187,2025-01-01 12:58:00,90305,URC Indonesia,Snacks,Cash,,debit,Transaksi di URC Indonesia,30909695,TX000011
P131,2025-01-01 13:02:00,33252,Modern Retail,Beverages,Cash,,debit,Transaksi di Modern Retail,10966748,TX000012
P059,2025-01-01 13:56:00,49060,Orang Tua,Snacks,Cash,,debit,Transaksi di Orang Tua,7350940,TX000013
P157,2025-01-01 14:21:00,227004,PUBG Mobile,Entertainment,Transfer,BRI,debit,Transaksi di PUBG Mobile,13972996,TX000014
P170,2025-01-01 14:47:00,151729,Auntie Anne's,Dining Out,Debit,BNI,debit,Transaksi di Auntie Anne's,28848271,TX000015
P086,2025-01-01 15:00:00,482733,CGV Cinemas,Entertainment,Transfer,BRI,debit,Transaksi di CGV Cinemas,5317267,TX000016
P153,2025-01-01 15:01:00,6699,Pasar Tradisional,Groceries,Debit,Mandiri,debit,Transaksi di Pasar Tradisional,15193301,TX000017
P154,2025-01-01 15:12:00,60356,Kalbe,Snacks,Debit,BNI,debit,Transaksi di Kalbe,27539644,TX000018
P119,2025-01-01 15:14:00,122601,Ranch Market,Groceries,Debit,BRI,debit,Transaksi di Ranch Market,8077399,TX000019
P167,2025-01-01 15:26:00,4973506,Toko Seragam,Fashion,QRIS,BRI,debit,Transaksi di Toko Seragam,27226494,TX000020
