product_id,product_name,category,subcategory,price_min,price_max,item_type,weight,tags
OFF0001,Yakult,Beverage,Yakult,4331,25685,offline,0.122,yakult
OFF0002,You C1000 Large,Beverage,You C1000,12924,30501,offline,0.138,"you,c1000"
OFF0003,Mizone Pack,Beverage,Mizone,13158,29402,offline,0.021,mizone
OFF0004,Bear Brand Pack,Beverage,Bear Brand,11221,31928,offline,0.185,"bear,brand"
OFF0005,Teh Pucuk Large,Beverage,Teh Pucuk,19626,24203,offline,0.103,"teh,pucuk"
OFF0006,Aqua 600ml 250g,Beverage,Aqua 600ml,10147,19915,offline,0.174,"aqua,600ml"
OFF0007,Sprite 390ml Small,Beverage,Sprite 390ml,10865,38201,offline,0.127,"sprite,390ml"
OFF0008,Le Minerale 600ml 500g,Beverage,Le Minerale 600ml,15105,31943,offline,0.089,"le,minerale,600ml"
OFF0009,Coca Cola 390ml 250g,Beverage,Coca Cola 390ml,19903,45175,offline,0.067,"coca,cola,390ml"
OFF0010,Bear Brand 500g,Beverage,Bear Brand,7323,15280,offline,0.149,"bear,brand"
OFF0011,Le Minerale 600ml Small,Beverage,Le Minerale 600ml,14506,27578,offline,0.162,"le,minerale,600ml"
OFF0012,Le Minerale 600ml 250g,Beverage,Le Minerale 600ml,19863,40440,offline,0.134,"le,minerale,600ml"
OFF0013,Aqua 600ml 250g,Beverage,Aqua 600ml,19692,31325,offline,0.198,"aqua,600ml"
OFF0014,Teh Pucuk,Beverage,Teh Pucuk,4003,30751,offline,0.162,"teh,pucuk"
OFF0015,Yakult 250g,Beverage,Yakult,9563,15525,offline,0.075,yakult
OFF0016,Nescafe Latte 500g,Beverage,Nescafe Latte,5102,16070,offline,0.07,"nescafe,latte"
OFF0017,Le Minerale 600ml Large,Beverage,Le Minerale 600ml,12889,41975,offline,0.043,"le,minerale,600ml"
OFF0018,Frestea Small,Beverage,Frestea,15792,44158,offline,0.043,frestea
OFF0019,Mizone,Beverage,Mizone,4284,33272,offline,0.01,mizone
OFF0020,Ultra Milk 200ml,Beverage,Ultra Milk 200ml,16307,30035,offline,0.172,"ultra,milk,200ml"
OFF0021,Mizone Pack,Beverage,Mizone,7457,9624,offline,0.154,mizone
OFF0022,Sprite 390ml,Beverage,Sprite 390ml,16586,31570,offline,0.101,"sprite,390ml"
OFF0023,Good Day Large,Beverage,Good Day,19073,43525,offline,0.144,"good,day"
OFF0024,Good Day 500g,Beverage,Good Day,15128,37712,offline,0.011,"good,day"
OFF0025,Sosro Botol 500g,Beverage,Sosro Botol,15863,44457,offline,0.175,"sosro,botol"
OFF0026,Cleo 600ml Small,Beverage,Cleo 600ml,3286,6904,offline,0.052,"cleo,600ml"
OFF0027,Nescafe Latte Small,Beverage,Nescafe Latte,15890,23894,offline,0.059,"nescafe,latte"
OFF0028,Le Minerale 600ml 500g,Beverage,Le Minerale 600ml,6804,10456,offline,0.061,"le,minerale,600ml"
OFF0029,Coca Cola 390ml,Beverage,Coca Cola 390ml,7375,17499,offline,0.137,"coca,cola,390ml"
OFF0030,Le Minerale 600ml 500g,Beverage,Le Minerale 600ml,4526,32550,offline,0.112,"le,minerale,600ml"
OFF0031,Teh Pucuk Pack,Beverage,Teh Pucuk,14250,34529,offline,0.199,"teh,pucuk"
OFF0032,Sprite 390ml,Beverage,Sprite 390ml,3609,30425,offline,0.036,"sprite,390ml"
OFF0033,Cleo 600ml 500g,Beverage,Cleo 600ml,18391,39005,offline,0.111,"cleo,600ml"
OFF0034,Coca Cola 390ml,Beverage,Coca Cola 390ml,18176,36889,offline,0.05,"coca,cola,390ml"
OFF0035,Frestea Pack,Beverage,Frestea,14586,33685,offline,0.058,frestea
OFF0036,Sprite 390ml 250g,Beverage,Sprite 390ml,7591,30751,offline,0.131,"sprite,390ml"
OFF0037,Yakult Large,Beverage,Yakult,7286,17266,offline,0.062,yakult
OFF0038,You C1000 Large,Beverage,You C1000,11577,28137,offline,0.032,"you,c1000"
OFF0039,Yakult 500g,Beverage,Yakult,19584,39770,offline,0.108,yakult
OFF0040,You C1000 Pack,Beverage,You C1000,18854,37252,offline,0.13,"you,c1000"
OFF0041,SilverQueen Mini 250g,Snack,SilverQueen Mini,17977,40345,offline,0.068,"silverqueen,mini"
OFF0042,Hello Panda 500g,Snack,Hello Panda,14945,38125,offline,0.138,"hello,panda"
OFF0043,Lays Nori Pack,Snack,Lays Nori,12633,25043,offline,0.106,"lays,nori"
OFF0044,Beng Beng Pack,Snack,Beng Beng,3287,9051,offline,0.168,"beng,beng"
OFF0045,Oreo Chocolate 250g,Snack,Oreo Chocolate,9621,34390,offline,0.102,"oreo,chocolate"
OFF0046,Qtela Tempe,Snack,Qtela Tempe,4577,18823,offline,0.029,"qtela,tempe"
OFF0047,SilverQueen Mini 500g,Snack,SilverQueen Mini,17199,27620,offline,0.045,"silverqueen,mini"
OFF0048,Pringles Original,Snack,Pringles Original,8430,14501,offline,0.045,"pringles,original"
OFF0049,Piattos BBQ Large,Snack,Piattos BBQ,6896,24847,offline,0.148,"piattos,bbq"
OFF0050,Chitato BBQ Pack,Snack,Chitato BBQ,19001,23897,offline,0.19,"chitato,bbq"
OFF0051,SilverQueen Mini 500g,Snack,SilverQueen Mini,14306,40402,offline,0.148,"silverqueen,mini"
OFF0052,Roma Kelapa Pack,Snack,Roma Kelapa,6214,19446,offline,0.143,"roma,kelapa"
OFF0053,Roma Kelapa Large,Snack,Roma Kelapa,14836,33112,offline,0.159,"roma,kelapa"
OFF0054,SilverQueen Mini 250g,Snack,SilverQueen Mini,13633,40556,offline,0.107,"silverqueen,mini"
OFF0055,Hello Panda 250g,Snack,Hello Panda,8784,18432,offline,0.145,"hello,panda"
OFF0056,Qtela Tempe Small,Snack,Qtela Tempe,12067,21835,offline,0.028,"qtela,tempe"
OFF0057,Beng Beng 250g,Snack,Beng Beng,11657,38441,offline,0.192,"beng,beng"
OFF0058,Oreo Chocolate 250g,Snack,Oreo Chocolate,12434,16889,offline,0.145,"oreo,chocolate"
OFF0059,Qtela Tempe,Snack,Qtela Tempe,17359,35410,offline,0.074,"qtela,tempe"
OFF0060,Chitato Seaweed,Snack,Chitato Seaweed,6554,33702,offline,0.168,"chitato,seaweed"
OFF0061,Tango Wafer 500g,Snack,Tango Wafer,14801,36625,offline,0.144,"tango,wafer"
OFF0062,SilverQueen Mini Pack,Snack,SilverQueen Mini,11628,24334,offline,0.1,"silverqueen,mini"
OFF0063,Roma Kelapa 500g,Snack,Roma Kelapa,6272,10118,offline,0.144,"roma,kelapa"
OFF0064,Oreo Chocolate Large,Snack,Oreo Chocolate,5626,27227,offline,0.186,"oreo,chocolate"
OFF0065,Hello Panda 500g,Snack,Hello Panda,13062,15534,offline,0.05,"hello,panda"
OFF0066,Chitato BBQ Pack,Snack,Chitato BBQ,5931,23701,offline,0.161,"chitato,bbq"
OFF0067,Cheetos Small,Snack,Cheetos,11534,37201,offline,0.167,cheetos
OFF0068,Lays Nori 500g,Snack,Lays Nori,16921,19575,offline,0.168,"lays,nori"
OFF0069,Oreo Chocolate Large,Snack,Oreo Chocolate,5291,10018,offline,0.082,"oreo,chocolate"
OFF0070,SilverQueen Mini Small,Snack,SilverQueen Mini,7481,27899,offline,0.063,"silverqueen,mini"
OFF0071,Oreo Vanilla Large,Snack,Oreo Vanilla,6541,14033,offline,0.045,"oreo,vanilla"
OFF0072,SilverQueen Mini Large,Snack,SilverQueen Mini,17133,45490,offline,0.126,"silverqueen,mini"
OFF0073,Cheetos 250g,Snack,Cheetos,14763,36289,offline,0.02,cheetos
OFF0074,Chitato Seaweed Small,Snack,Chitato Seaweed,3500,24601,offline,0.111,"chitato,seaweed"
OFF0075,Roma Kelapa Pack,Snack,Roma Kelapa,4166,18980,offline,0.195,"roma,kelapa"
OFF0076,Piattos BBQ Small,Snack,Piattos BBQ,11392,35767,offline,0.082,"piattos,bbq"
OFF0077,Qtela Tempe 250g,Snack,Qtela Tempe,9058,38785,offline,0.155,"qtela,tempe"
OFF0078,Chitato BBQ Large,Snack,Chitato BBQ,17437,23713,offline,0.179,"chitato,bbq"
OFF0079,Chitato BBQ 500g,Snack,Chitato BBQ,9075,16469,offline,0.015,"chitato,bbq"
OFF0080,Chitato BBQ Small,Snack,Chitato BBQ,7619,10359,offline,0.157,"chitato,bbq"
OFF0081,Shin Ramen,InstantFood,Shin Ramen,18525,39932,offline,0.101,"shin,ramen"
OFF0082,Indomie Goreng,InstantFood,Indomie Goreng,10316,36031,offline,0.168,"indomie,goreng"
OFF0083,Mie Sedaap Soto,InstantFood,Mie Sedaap Soto,7550,10937,offline,0.182,"mie,sedaap,soto"
OFF0084,Mie Sedaap Goreng Small,InstantFood,Mie Sedaap Goreng,16726,32394,offline,0.157,"mie,sedaap,goreng"
OFF0085,Mie Sedaap Soto 500g,InstantFood,Mie Sedaap Soto,16846,33789,offline,0.034,"mie,sedaap,soto"
OFF0086,Indomie Goreng 500g,InstantFood,Indomie Goreng,9179,29892,offline,0.154,"indomie,goreng"
OFF0087,Mie Sedaap Soto Pack,InstantFood,Mie Sedaap Soto,7389,28919,offline,0.014,"mie,sedaap,soto"
OFF0088,Shin Ramen Pack,InstantFood,Shin Ramen,7613,33148,offline,0.145,"shin,ramen"
OFF0089,Sarimi Ayam Bawang 250g,InstantFood,Sarimi Ayam Bawang,9749,22597,offline,0.164,"sarimi,ayam,bawang"
OFF0090,Pop Mie Ayam Large,InstantFood,Pop Mie Ayam,14195,22157,offline,0.187,"pop,mie,ayam"
OFF0091,Pop Mie Baso Pack,InstantFood,Pop Mie Baso,4722,32033,offline,0.133,"pop,mie,baso"
OFF0092,Mie Sedaap Goreng Pack,InstantFood,Mie Sedaap Goreng,3283,6128,offline,0.014,"mie,sedaap,goreng"
OFF0093,Indomie Soto Pack,InstantFood,Indomie Soto,7059,11449,offline,0.165,"indomie,soto"
OFF0094,Pop Mie Baso Pack,InstantFood,Pop Mie Baso,13382,23436,offline,0.038,"pop,mie,baso"
OFF0095,Mie Sedaap Goreng 500g,InstantFood,Mie Sedaap Goreng,10274,21988,offline,0.085,"mie,sedaap,goreng"
OFF0096,Indomie Soto Small,InstantFood,Indomie Soto,14046,40095,offline,0.145,"indomie,soto"
OFF0097,Ramen Nongshim Large,InstantFood,Ramen Nongshim,11616,16199,offline,0.074,"ramen,nongshim"
OFF0098,Shin Ramen 250g,InstantFood,Shin Ramen,15041,30344,offline,0.152,"shin,ramen"
OFF0099,Pop Mie Ayam,InstantFood,Pop Mie Ayam,15845,21114,offline,0.04,"pop,mie,ayam"
OFF0100,Indomie Goreng 500g,InstantFood,Indomie Goreng,14103,32477,offline,0.171,"indomie,goreng"
OFF0101,Indomie Soto 500g,InstantFood,Indomie Soto,18713,31926,offline,0.113,"indomie,soto"
OFF0102,Mie Sedaap Soto 250g,InstantFood,Mie Sedaap Soto,9726,35550,offline,0.032,"mie,sedaap,soto"
OFF0103,Mie Sedaap Soto Large,InstantFood,Mie Sedaap Soto,14084,29004,offline,0.091,"mie,sedaap,soto"
OFF0104,Shin Ramen 500g,InstantFood,Shin Ramen,18799,38115,offline,0.078,"shin,ramen"
OFF0105,Bubur Quaker Small,InstantFood,Bubur Quaker,18962,39926,offline,0.138,"bubur,quaker"
OFF0106,Sikat WC 250g,Household,Sikat WC,14764,28474,offline,0.132,"sikat,wc"
OFF0107,Sunlight Lemon 500g,Household,Sunlight Lemon,6404,30932,offline,0.079,"sunlight,lemon"
OFF0108,Minyak Goreng Bimoli Pack,Household,Minyak Goreng Bimoli,18854,37342,offline,0.071,"minyak,goreng,bimoli"
OFF0109,Tisu Nice Large,Household,Tisu Nice,17929,37097,offline,0.166,"tisu,nice"
OFF0110,Tisu Nice Small,Household,Tisu Nice,3417,28027,offline,0.055,"tisu,nice"
OFF0111,Sunlight Lemon 250g,Household,Sunlight Lemon,19982,44360,offline,0.131,"sunlight,lemon"
OFF0112,Sikat WC,Household,Sikat WC,16830,41867,offline,0.111,"sikat,wc"
OFF0113,Rinso Cair,Household,Rinso Cair,8016,16723,offline,0.019,"rinso,cair"
